,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,total_mn,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,total_em,Age_tier,distancehome_tier,MonthlyIncome_tier
0,51,0,2,2,6,2,1,0,1,0,1,131160,1.0,11,0,1.0,6,1,0,0,3,3,3.0,3.0,4.0,2.0,3.0,3,3,5
1,31,1,1,1,10,1,1,0,1,6,2,41890,0.0,23,1,6.0,3,5,1,4,2,4,3.0,3.0,2.0,4.0,3.0,1,3,3
2,32,0,1,1,17,4,4,1,4,7,1,193280,1.0,15,3,5.0,2,5,0,3,3,3,3.0,2.0,2.0,1.0,1.6666666666666667,1,2,5
3,38,0,0,1,2,5,1,1,3,1,1,83210,3.0,11,3,13.0,5,8,7,5,2,3,2.5,4.0,4.0,3.0,3.6666666666666665,1,4,4
4,32,0,2,1,10,1,3,1,1,7,2,23420,4.0,12,2,9.0,2,6,0,4,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,1,3,1
5,46,0,2,1,8,3,1,0,4,5,1,40710,3.0,13,0,28.0,5,7,7,7,3,3,3.0,3.0,2.0,2.0,2.3333333333333335,2,3,3
6,28,1,2,1,11,2,3,1,2,7,2,58130,2.0,20,1,5.0,2,0,0,0,3,4,3.5,1.0,3.0,1.0,1.6666666666666667,0,2,3
7,29,0,2,1,18,3,1,1,2,7,1,31430,2.0,22,3,10.0,2,0,0,0,3,4,3.5,1.0,2.0,3.0,2.0,0,2,2
8,31,0,2,1,1,3,1,1,3,2,1,20440,0.0,21,0,10.0,2,9,7,8,3,4,3.5,2.0,4.0,3.0,3.0,1,4,1
9,25,0,0,1,7,4,3,0,4,2,0,134640,1.0,13,1,6.0,2,6,1,5,3,3,3.0,2.0,1.0,3.0,2.0,0,3,5
10,45,0,2,1,17,2,3,1,2,2,1,79910,0.0,13,2,21.0,2,20,4,10,2,3,2.5,3.0,4.0,3.0,3.3333333333333335,2,2,4
11,36,0,2,1,28,1,1,1,1,2,1,33770,0.0,12,2,16.0,2,15,10,11,3,3,3.0,2.7236031927023947,4.0,3.0,3.2412010642341316,1,1,2
12,55,0,2,1,14,4,1,0,1,7,2,55380,0.0,17,0,37.0,2,36,4,13,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,3,2,3
13,47,1,0,1,1,1,3,1,1,6,1,57620,1.0,11,2,10.0,4,10,9,9,2,3,2.5,1.0,2.0,2.0,1.6666666666666667,2,4,3
14,28,0,2,1,1,3,1,1,1,4,1,25920,1.0,14,0,5.0,2,5,0,4,3,3,3.0,4.0,4.0,2.0,3.3333333333333335,0,4,2
15,37,0,2,1,1,3,1,1,2,0,1,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,3.0,4.0,4.0,3.6666666666666665,1,4,3
16,21,0,2,1,3,2,1,1,1,2,2,42130,1.0,12,3,3.0,3,3,1,0,2,3,2.5,4.0,3.0,4.0,3.6666666666666665,0,4,3
17,37,0,0,1,1,3,3,1,2,7,0,41270,2.0,13,1,15.0,2,5,0,2,3,3,3.0,1.0,4.0,3.0,2.6666666666666665,1,4,3
18,35,0,2,2,7,4,1,1,1,8,0,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.5,2.0,2.0,2.0,2.0,1,3,1
19,38,0,2,1,8,3,1,0,1,3,0,68700,1.0,11,1,8.0,5,8,7,7,3,3,3.0,1.0,1.0,3.0,1.6666666666666667,1,3,4
20,26,0,1,1,1,4,4,1,2,2,0,104470,1.0,18,0,6.0,3,6,1,4,3,3,3.0,3.0,2.0,1.0,2.0,0,4,5
21,50,0,2,2,8,4,1,1,1,6,0,96670,3.0,23,0,28.0,2,10,1,6,2,4,3.0,1.0,2.0,2.0,1.6666666666666667,2,3,4
22,53,0,2,1,11,4,1,0,2,6,1,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,3.0,2.0,2.6666666666666665,3,2,1
24,29,0,1,1,16,4,3,1,1,2,2,65130,1.0,11,1,10.0,2,10,0,9,3,3,3.0,2.0,4.0,2.0,2.6666666666666665,0,2,4
25,55,0,2,1,1,4,4,0,1,6,1,67990,3.0,11,0,12.0,2,10,0,8,3,3,3.0,2.0,4.0,3.0,3.0,3,4,4
26,26,0,1,1,9,3,1,0,1,3,1,162910,1.0,22,0,5.0,3,5,3,3,3,4,3.5,1.0,1.0,3.0,1.6666666666666667,0,3,5
27,37,0,2,2,5,1,2,1,1,6,2,27050,1.0,11,0,17.0,2,17,5,7,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,1,4,2
28,44,1,1,1,1,2,3,1,2,6,0,103330,3.0,14,1,19.0,2,1,0,0,2,3,2.5,4.0,3.0,1.0,2.6666666666666665,2,4,5
29,38,0,2,2,2,3,2,0,1,3,0,44480,9.0,12,0,10.0,3,2,1,2,2,3,2.5,4.0,4.0,3.0,3.6666666666666665,1,4,3
30,26,1,2,1,4,3,3,1,3,6,0,68540,2.0,11,0,5.0,5,3,0,2,2,3,2.5,1.0,2.0,3.0,2.0,0,4,4
